,InteractorA,InteractorB
1457602,VCP,CHMP4B
1461708,CHMP4B,RBBP6
1464608,CIT,KIF14
1466622,ECT2,SF3B1
1466963,SRSF1,KIAA1429
1509348,ESR1,SUZ12
1510799,MKRN1,DHX9
1510815,MKRN1,ILF2
1513944,CDC5L,PRPF6
1513954,CDC5L,NONO
1513957,CDC5L,SF3B6
1513967,CDC5L,SNRNP70
1513971,CDC5L,RBM17
1513980,CDC5L,USP39
1513987,CDC5L,ILF3
1513994,CDC5L,SRSF4
1513995,CDC5L,SRSF7
1514390,CDC5L,PHGDH
1514575,CDC5L,ECT2
1514581,CDC5L,FANCD2
1514591,CDC5L,BRD4
1514649,CDC5L,RNF2
1514686,CDC5L,DDX21
1525409,CHCHD1,CHCHD4
1525786,U2AF2,ACIN1
1525854,U2AF2,DDX21
1525857,U2AF2,DHX9
1525862,U2AF2,EFTUD2
1525865,U2AF2,EIF4A3
1525918,U2AF2,HSPA8
1525923,U2AF2,IFI16
1525924,U2AF2,ILF2
1525925,U2AF2,ILF3
1525930,U2AF2,KIAA1429
1525968,U2AF2,PHB
1525989,U2AF2,RAN
1526010,U2AF2,SRSF4
1526011,U2AF2,SRSF6
1526026,U2AF2,SRRM2
1526040,U2AF2,TRIM28
1526046,U2AF2,VCP
2206350,ATOH1,SRRM2
2206356,ATOH1,UBR5
2206395,ATOH1,TCF3
2206912,C11ORF30,HNRNPM
2208112,FBXO7,RBX1
2208408,SMARCB1,VHL
2208465,UBR5,RNF2
2208466,UBR5,BMI1
2208472,UBR5,NONO
2214178,PPP1CA,RPL13
2214244,PPP1CC,RPL13
2215740,GAG,CIT
2221430,ZC3H18,KIAA1429
2223621,ZC3H18,RBBP6
2224686,ZC3H18,CLK2
2225000,PRPF40A,ZC3H18
2226073,SFPQ,DIDO1
2226878,JMJD6,SRSF11
2228858,JMJD6,U2AF2
2235842,HSPA8,EP300
2239639,SNRNP70,MKRN1
2241990,U2AF1,ACIN1
2247032,ZC3H18,SRSF1
2249538,JMJD6,DIDO1
2249947,JMJD6,RBM39
2252103,U2AF2,CLK2
2252624,ZC3H18,U2AF2
2253245,SNRNP70,SRRM2
2255339,JMJD6,PUF60
2257030,FBXW11,EED
2331144,SRSF5,SRSF6
2340836,FANCD2,HSPA8
2340847,FANCD2,HNRNPM
2340890,FANCD2,PHGDH
2340893,FANCD2,TRIM28
2340994,FANCD2,NUP50
2341018,FANCD2,HIST1H4A
2341127,FANCD2,RAN
2341232,FANCD2,NONO
2341265,FANCD2,RBM39
2341268,FANCD2,EIF4A3
2341285,FANCD2,VCP
2341328,FANCD2,SFPQ
2341411,FANCD2,NXF1
2341529,FANCD2,PRPF19
2341536,FANCD2,DDX21
2341615,FANCD2,YWHAB
2341719,FANCD2,YWHAG
2341808,FANCD2,RPL13
2342533,FANCD2,UBR5
2342677,FANCD2,PRPF3
2342679,FANCD2,NHP2L1
2342691,FANCD2,DHX9
2342694,FANCD2,EFTUD2
2342708,FANCD2,SRSF1
2342715,FANCD2,SF3B1
2342733,FANCD2,SAFB
2342739,FANCD2,PRPF6
2342745,FANCD2,ILF3
2342791,FANCD2,PRPF40A
2342797,FANCD2,ACIN1
2342800,FANCD2,MKI67
2342809,FANCD2,SRSF4
2342825,FANCD2,HP1BP3
2342829,FANCD2,U2AF1
2342878,FANCD2,U2AF2
2342894,FANCD2,PUF60
2342901,FANCD2,SRSF6
2342915,FANCD2,SRSF7
2342932,FANCD2,SRSF5
2342938,FANCD2,SRPK3
2380930,SMARCB1,HNRNPM
2381478,UBE2A,SFPQ
2381498,UBE2A,NONO
2381506,UBE2A,KIF23
2381524,UBE2A,U2AF2
2381552,UBE2A,EIF4A3
2381553,UBE2A,PUF60
2457633,KIF14,SRSF7
2461178,FBXO7,UBR5
2461183,FBXO7,DHX9
2461214,FBXO7,HNRNPM
2461233,FBXO7,PHGDH
2461274,FBXO7,RBM39
2461360,FBXO7,ACTC1
2461458,FBXO7,NFIA
2461583,FBXO7,PUF60
2461592,FBXO7,SRSF7
2461628,FBXO7,SRPK3
2463342,BRD4,EZH2
2463359,BRD4,BMI1
2465690,HBP1,TRIM26
2465715,HBP1,SRSF4
2465723,HBP1,HP1BP3
2465731,HBP1,RAN
2465745,HBP1,MKI67
2467499,PPP1CC,NUP50
2467521,PPP1CC,YWHAB
2470416,EZH2,EP300
2471203,HSPA8,DHX9
2471207,HSPA8,SRRM2
2471212,HSPA8,SRSF1
2471224,HSPA8,PHGDH
2472788,HSPA8,HNRNPM
2472792,HSPA8,RAN
2472809,HSPA8,PRPF19
2474293,HSPA8,SEPT7
2487073,EFTUD2,HSPA8
2487080,EFTUD2,ILF2
2487081,EFTUD2,ILF3
2487139,EFTUD2,PHB
2487169,EFTUD2,RAN
2487185,EFTUD2,RPL13
2487234,EFTUD2,SRPK1
2487254,EFTUD2,VCP
2487259,EFTUD2,YWHAG
2487271,EFTUD2,HIST1H4A
2487305,EFTUD2,RBM39
2487320,EFTUD2,TRIM28
2487376,EFTUD2,PUF60
2487401,EFTUD2,PHGDH
2488791,EFTUD2,NHP2L1
2488794,EFTUD2,NONO
2488870,EFTUD2,SRSF5
2488871,EFTUD2,SRSF6
2488872,EFTUD2,SRSF7
2488881,EFTUD2,SNRNP70
2488893,EFTUD2,SRPK2
2488916,EFTUD2,U2AF1
2488922,EFTUD2,YWHAB
2488953,EFTUD2,BUD31
2488965,EFTUD2,PRPF3
2489054,EFTUD2,DIDO1
2489059,EFTUD2,PSIP1
2489079,EFTUD2,JMJD6
2489144,EFTUD2,HP1BP3
2489158,EFTUD2,UBR5
2489316,EFTUD2,ZC3H18
2512709,USP39,EZH2
2516053,FGF11,ILF3
2516077,FGF11,UBR5
2516095,FGF11,PRPF6
2516097,FGF11,VCP
2516134,FGF11,NHP2L1
2516145,FGF11,ZC3H18
2516147,FGF11,PRPF19
2516159,FGF11,NONO
2516173,FGF11,RPL13
2516175,FGF11,SFPQ
2516182,FGF11,SRRM2
2518853,ESR2,ACTC1
2518859,ESR2,PPP1CA
2518860,ESR2,PPP1CC
2518875,ESR2,SEPT2
2518882,ESR2,EIF4A3
2518902,ESR2,SRRM2
2518913,ESR2,SRSF7
2518914,ESR2,ZC3H18
2518930,ESR2,NHP2L1
2518933,ESR2,SRSF5
2518942,ESR2,RBM17
2518953,ESR2,VCP
2518968,ESR2,RBM4B
2519012,ESR2,SEPT7
2519135,ESR2,SRSF4
2519142,ESR2,PSIP1
2519145,ESR2,PRPF40A
2519216,ESR2,KIF23
2519220,ESR2,SNRNP70
2519264,ESR2,RNPS1
2519266,ESR2,RBBP6
2519273,ESR2,ACIN1
2519321,ESR2,USP39
2519355,ESR2,SRPK2
2519371,ESR2,PHB
2519389,ESR2,MAGOH
2519440,ESR2,YWHAG
2519451,ESR2,KIF14
2519507,ESR2,YWHAB
2519509,ESR2,KIAA1429
2519733,ESR2,CIT
2519773,ESR2,PRC1
2519871,ESR2,NXF1
2519884,ESR2,CIC
2519969,ESR2,RAN
2519996,ESR2,SAP18
2520054,ESR2,SMARCB1
2520060,ESR2,SUZ12
2520079,ESR2,KIF20A
2520421,ESR2,BUD31
2520599,ESR2,EED
2520634,ESR2,BRD4
2520656,ESR2,MKRN1
2520775,ESR2,SIRT7
2520785,ESR2,SRPK1
2520791,ESR2,TRIM26
2520810,ESR2,SNIP1
2520816,ESR2,DHX8
2520874,ESR2,SAFB
2520949,ESR2,ZCCHC10
2521002,ESR2,SF3B6
2521024,ESR2,SLFN11
2530226,EZH2,ACIN1
2530257,EZH2,RBBP6
2530262,EZH2,PSIP1
2530265,EZH2,SAP18
2530277,EZH2,ZC3H18
2530279,EZH2,SMARCB1
2530352,EZH2,NHP2L1
2530399,EZH2,PPP1CC
2530409,EZH2,NUP50
2530426,EZH2,KIF20A
2530451,EZH2,ZCCHC10
2530485,EZH2,RC3H2
2530541,EZH2,BRD3
2530545,EZH2,SNIP1
2530586,SUZ12,CDC5L
2530611,SUZ12,ZC3H18
2530613,SUZ12,SMARCB1
2530686,SUZ12,NUP50
2530715,SUZ12,RC3H2
2530726,SUZ12,OBSL1
2530742,SUZ12,CLK2
2530809,EZH2,OBSL1
2530842,SUZ12,PPP1CC
2533788,DCPS,PHGDH
2533856,DCPS,PRPF40A
2533873,DCPS,PRPF6
2533874,DCPS,HNRNPM
2533893,DCPS,DDX21
2533936,DCPS,SF3B1
2533968,DCPS,EED
2533979,DCPS,MKI67
2533980,DCPS,HP1BP3
2533995,DCPS,SFPQ
2534000,DCPS,SF3B6
2534033,DCPS,DHX9
2534034,DCPS,PSIP1
2534039,DCPS,PPP1CA
2534040,DCPS,PRPF19
2534062,DCPS,U2AF1
2539422,BMI1,EZH2
2540732,MYC,MKI67
2540828,MYC,RBM39
2540856,MYC,ILF2
2540863,MYC,RAN
2540930,MYC,UBR5
2540994,MYC,PPP1CC
2541036,MYC,SRPK1
2541038,MYC,RNPS1
2541064,MYC,SRSF1
2541134,MYC,PHGDH
2541137,MYC,PRPF3
2541206,MYC,KIF20A
2541255,MYC,S100A9
2541284,MYC,HSPA8
2541369,MYC,SFPQ
2541387,MYC,U2AF2
2541430,MYC,PHB
2541446,MYC,EIF4A3
2541522,MYC,HNRNPM
2541542,MYC,VCP
2541572,MYC,YWHAG
2541600,MYC,HIST1H4A
2541641,MYC,KIF23
2541659,MYC,DHX9
2541671,MYC,ILF3
2541685,MYC,SRSF6
2541743,MYC,SAFB
2541756,MYC,IFI16
2541962,MYC,CDC5L
2542016,MYC,ECT2
2542033,MYC,DDX21
2542081,MYC,NXF1
2542100,MYC,PRPF19
2542109,MYC,SRRM2
2542126,MYC,SF3B6
2542153,MYC,ACIN1
2551264,HIST1H4A,DHX9
2551334,HIST1H4A,YWHAB
2551368,HIST1H4A,HSPA8
2551421,HIST1H4A,PRPF6
2551423,HIST1H4A,U2AF2
2551426,HIST1H4A,U2AF1
2551428,HIST1H4A,SMARCB1
2551474,HIST1H4A,BRD3
2551481,HIST1H4A,PRPF3
2551491,HIST1H4A,SEPT7
2551512,HIST1H4A,EZH2
2551524,HIST1H4A,SUZ12
2563099,VCP,NHP2L1
2563842,KIAA1429,MKI67
2563915,KIAA1429,EP300
2563973,KIAA1429,SRRM2
2564003,KIAA1429,RC3H2
2564241,KIAA1429,PRPF40A
2564289,KIAA1429,DHX8
2564324,KIAA1429,CDC5L
2564325,KIAA1429,UBR5
2564501,KIAA1429,BRD4
2564506,KIAA1429,KIF20A
2564600,KIAA1429,IFI16
2564668,KIAA1429,SRPK2
2564673,KIAA1429,BRD3
2564731,KIAA1429,PRC1
2564845,KIAA1429,ILF3
2564858,KIAA1429,RBBP6
2564936,KIAA1429,MECOM
2564978,KIAA1429,MYC
2565025,KIAA1429,DHX9
2565044,KIAA1429,PRPF6
2565260,KIAA1429,CIC
2565303,KIAA1429,C11ORF30
2565584,KIAA1429,KIFAP3
2565626,KIAA1429,SUZ12
2565631,KIAA1429,PRPF3
2565648,KIAA1429,KIF14
2565662,KIAA1429,DIDO1
2565705,KIAA1429,HSPA8
2565758,KIAA1429,HIST1H4A
2565789,KIAA1429,CIT
2565838,KIAA1429,SFPQ
2565853,KIAA1429,SF3B1
2566706,KIAA1429,YWHAB
2566711,KIAA1429,RAN
2566718,KIAA1429,YWHAG
2566833,KIAA1429,SEPT7
2566906,KIAA1429,SF3B6
2566924,KIAA1429,PPP1CA
2566937,KIAA1429,NDUFAF2
2566938,KIAA1429,S100A9
2567005,KIAA1429,PRPF19
2567156,KIAA1429,BUD31
2567161,KIAA1429,FAM96B
2567199,KIAA1429,NUP50
2567238,KIAA1429,PHB
2567341,KIAA1429,PHGDH
2567382,KIAA1429,NONO
2567390,KIAA1429,VCP
2567400,KIAA1429,SNRNP70
2567408,KIAA1429,ILF2
2567427,KIAA1429,ACTC1
2567448,KIAA1429,TRIM28
2567484,KIAA1429,SEPT2
2571386,RC3H2,CDC5L
2571389,RC3H2,EIF4A3
2571412,RC3H2,SRSF11
2571414,RC3H2,RBBP6
2571435,RC3H2,PRPF3
2571462,RC3H2,PPP1CC
2571530,RC3H2,SRSF4
2571556,RC3H2,SRSF7
2571559,RC3H2,SF3B1
2571579,RC3H2,PUF60
2571602,RC3H2,PRPF19
2571607,RC3H2,DHX9
2571631,RC3H2,HNRNPM
2571637,RC3H2,TRIM28
2571650,RC3H2,ILF2
2571656,RC3H2,RBM39
2571660,RC3H2,SRSF1
2571722,RC3H2,DDX21
2571735,RC3H2,U2AF2
2571738,RC3H2,SRSF6
2571763,RC3H2,YWHAG
2571766,RC3H2,SNRNP70
2571777,RC3H2,ILF3
2571812,RC3H2,NONO
2571818,RC3H2,YWHAB
2571820,RC3H2,NHP2L1
2571824,RC3H2,SRPK1
2571877,RC3H2,RPL13
2571909,RC3H2,HSPA8
2575219,ACTC1,HNRNPM
2575226,ACTC1,PHB
2575259,ACTC1,VCP
2575260,ACTC1,YWHAB
2575261,ACTC1,YWHAG
2575270,ACTC1,DDX21
2575276,ACTC1,TRIM28
2575339,ACTC1,U2AF1
2575364,ACTC1,PPP1CC
2575388,ACTC1,SMARCB1
2575405,ACTC1,SF3B1
2575626,ACTC1,SFPQ
2575645,ACTC1,RBM17
2575675,ACTC1,PRPF40A
2575709,ACTC1,PRPF6
2575715,ACTC1,SRRM2
2575716,ACTC1,BRD4
2575727,ACTC1,CIC
2575730,ACTC1,ACIN1
2575734,ACTC1,PUF60
2575745,ACTC1,NUP50
2575772,ACTC1,SRSF11
2575775,ACTC1,PRPF3
2575805,ACTC1,SNRNP70
2575812,ACTC1,RBBP6
2575826,ACTC1,MKI67
2575853,ACTC1,CDC5L
2575963,ACTC1,SEPT7
2592631,ESR2,HIST1H4A
2592753,PHB,USP39
2592835,PHB,CDC5L
2592920,PHB,EIF4A3
2592933,PHB,RAN
2592966,PHB,HSPA8
2593007,PHB,SFPQ
2593009,PHB,SRSF11
2593041,PHB,PRPF3
2593056,PHB,SRSF6
2593066,PHB,RBM39
2593075,PHB,DHX9
2593091,PHB,ILF3
2593115,PHB,PHGDH
2593125,PHB,SF3B6
2593129,PHB,NONO
2593133,PHB,SRSF5
2593216,PHB,DDX21
2593227,PHB,HP1BP3
2593230,PHB,HNRNPM
2593248,PHB,ILF2
2593259,PHB,SNRNP70
2593278,PHB,SRSF1
2593293,PHB,NXF1
2593356,PHB,RPL13
2593428,PHB,SF3B1
2593429,PHB,U2AF1
2593436,PHB,TRIM28
2594822,RBX1,HNRNPM
2594846,RBX1,PHGDH
2594847,RBX1,ACTC1
2594852,RBX1,DHX9
2594869,RBX1,SAFB
2594875,RBX1,RPL13
2594906,RBX1,ILF2
2594919,RBX1,NHP2L1
2594937,RBX1,HP1BP3
2594954,RBX1,ILF3
2594968,RBX1,SRSF6
2594974,RBX1,RAN
2595016,RBX1,NONO
2595026,RBX1,RNPS1
2595032,RBX1,TRIM28
2599792,EZH2,MYC
2602476,MYC,C11ORF30
2602519,MYC,DIDO1
2602644,MYC,NUP50
2602685,MYC,RNF2
2602702,MYC,SAP18
2607293,NR2C2,SRRM2
2607310,NR2C2,HSPA8
2607317,NR2C2,HNRNPM
2607321,NR2C2,RBBP6
2607327,NR2C2,DDX21
2607332,NR2C2,SRSF1
2607340,NR2C2,EIF4A3
2607345,NR2C2,ACIN1
2607346,NR2C2,EFTUD2
2607360,NR2C2,DHX9
2607362,NR2C2,SRSF6
2607376,NR2C2,NHP2L1
2607391,NR2C2,PRPF19
2607397,NR2C2,NONO
2607407,NR2C2,CDC5L
2607416,NR2C2,SRSF7
2607441,NR2C2,ILF3
2607448,NR2C2,RAN
2607451,NR2C2,ACTC1
2607455,NR2C2,PUF60
2607468,NR2C2,SRSF4
2607475,NR2C2,RBM39
2607478,NR2C2,RNPS1
2607481,NR2C2,SRSF11
2607498,NR2C2,SF3B1
2607509,NR2C2,SRPK1
2607517,NR2C2,SFPQ
2607577,NR2C2,SAP18
2607582,NR2C2,ILF2
2607650,NR2C2,MKI67
2607654,NR2C2,PHB
2607658,NR2C2,C11ORF30
2607727,NR2C2,BUD31
2607765,NR2C2,RPL13
2607769,NR2C2,PPP1CA
2607790,NR2C2,U2AF2
2607828,NR2C2,SNRNP70
2607847,NR2C2,DIDO1
2607862,NR2C2,PRPF6
2607904,NR2C2,HP1BP3
2607961,NR2C2,CLK2
2608009,NR2C2,SAFB
2608010,NR2C2,SF3B6
2608034,NR2C2,NAA40
2608143,NR2C2,ZCCHC10
2608187,NR2C2,SNIP1
2608240,NR2C2,SMARCB1
2608349,NR2C2,JMJD6
2608408,NR2C2,NXF1
2608487,NR2C2,FBXO7
2609296,PPP1CC,ZC3H18
2609320,PPP1CC,SRRM2
2609324,PPP1CC,RNPS1
2609340,PPP1CC,SRSF1
2609364,PPP1CC,RBM17
2609365,PPP1CC,SAP18
2609367,PPP1CC,SRSF7
2609374,PPP1CC,ACIN1
2609377,PPP1CC,SRSF5
2609380,PPP1CC,SRSF4
2609387,PPP1CC,C11ORF30
2609397,PPP1CC,SRSF6
2609398,PPP1CC,EIF4A3
2609400,PPP1CC,PRPF40A
2609429,PPP1CC,KIAA1429
2609439,PPP1CC,HIST1H4A
2609458,PPP1CC,EFTUD2
2609501,PPP1CC,HNRNPM
2609512,PPP1CC,HP1BP3
2609537,PPP1CC,KIF14
2609559,PPP1CC,DDX21
2610126,IFI16,EP300
2617440,PRDM16,PSIP1
2617446,PRDM16,RBM39
2617458,PRDM16,CDC5L
2617521,PRDM16,HP1BP3
2617578,MECOM,FAM96B
2617598,MECOM,PHGDH
2617600,MECOM,SRSF6
2617617,MECOM,RBM39
2617644,MECOM,CDC5L
2617663,MECOM,HP1BP3
2617678,MECOM,SRSF1
2617709,MECOM,PSIP1
2617717,MECOM,PRPF19
2631091,HIST1H4A,VHL
2631100,HIST1H4A,NFIA
2631114,HIST1H4A,IFI16
2631115,HIST1H4A,CIC
2631130,HIST1H4A,TRIM28
2631152,HIST1H4A,SRSF11
2631221,HIST1H4A,SRRM2
2631226,HIST1H4A,NR2C2
2631228,HIST1H4A,TCF3
2631315,HIST1H4A,C11ORF30
2631341,HIST1H4A,NUP50
2631381,HIST1H4A,PHB
2631421,HIST1H4A,KIF20A
2631441,HIST1H4A,SNIP1
2631449,HIST1H4A,PSIP1
2631525,HIST1H4A,BUD31
2631613,HIST1H4A,ACIN1
2631631,HIST1H4A,SRSF6
2631673,HIST1H4A,SRSF7
2631712,HIST1H4A,RBBP6
2631714,HIST1H4A,SF3B1
2631716,HIST1H4A,USP39
2631753,HIST1H4A,SRSF4
2631780,HIST1H4A,RBM17
2631806,HIST1H4A,SAFB
2631808,HIST1H4A,SRSF1
2631821,HIST1H4A,PRPF40A
2631834,HIST1H4A,SAP18
2631851,HIST1H4A,RNF2
2631863,HIST1H4A,PRPF19
2631900,HIST1H4A,ZC3H18
2631912,HIST1H4A,NAA40
2631943,HIST1H4A,NXF1
2631946,HIST1H4A,ILF3
2631955,HIST1H4A,PRC1
2631966,HIST1H4A,PPP1CA
2631989,HIST1H4A,SRSF5
2631993,HIST1H4A,RNPS1
2631994,HIST1H4A,NONO
2632007,HIST1H4A,RBM39
2632018,HIST1H4A,EED
2632021,HIST1H4A,DDX21
2632028,HIST1H4A,DHX8
2632035,HIST1H4A,RAN
2632043,HIST1H4A,DIDO1
2632074,HIST1H4A,HP1BP3
2632079,HIST1H4A,SFPQ
2632086,HIST1H4A,HNRNPM
2632087,HIST1H4A,CDC5L
2632102,HIST1H4A,ILF2
2632137,HIST1H4A,NHP2L1
2632139,HIST1H4A,SNRNP70
2632190,HIST1H4A,KIF23
2632217,HIST1H4A,MKI67
2632221,HIST1H4A,RPL13
2632255,HIST1H4A,MECOM
2638505,SNRNP70,DHX8
2638506,SNRNP70,DHX9
2638545,SNRNP70,ILF2
2638556,SNRNP70,MKI67
2638563,SNRNP70,HNRNPM
2638569,SNRNP70,NHP2L1
2638573,SNRNP70,NONO
2638587,SNRNP70,PPP1CC
2638593,SNRNP70,RBBP6
2638614,SNRNP70,RPL13
2638671,SNRNP70,SAFB
2638677,SNRNP70,SRSF4
2638678,SNRNP70,SRSF5
2638679,SNRNP70,SRSF6
2638680,SNRNP70,SRSF7
2638713,SNRNP70,U2AF1
2638758,SNRNP70,DDX21
2638802,SNRNP70,SAP18
2638810,SNRNP70,NXF1
2638826,SNRNP70,USP39
2638847,SNRNP70,PSIP1
2638855,SNRNP70,PUF60
2638861,SNRNP70,ACIN1
2638894,SNRNP70,PRPF6
2638942,SNRNP70,HP1BP3
2639092,SNRNP70,SNIP1
2639131,SNRNP70,RBM17
2639150,SNRNP70,ZC3H18
2639183,SNRNP70,SFPQ
2641770,PINK1,VCP
2650677,PPP1CA,HNRNPM
2650681,PPP1CA,YWHAG
2650773,PPP1CA,NUP50
2650824,PPP1CA,PRPF6
2650831,PPP1CA,EFTUD2
2652516,NSP7,NDUFAF2
2663027,RBM39,EIF4A3
2663598,PPP1CA,ILF2
2664750,DHX9,PUF60
2665500,PPP1CA,SF3B1
2670125,RPL13,HSPA8
2670255,PRPF19,ILF2
2670260,SFPQ,ILF2
2670285,HSPA8,ILF3
2672602,SFPQ,PRPF19
2675332,HSPA8,SF3B1
2675364,HSPA8,SFPQ
2675372,TRIM28,SFPQ
2681665,MKI67,KIF23
2684276,CDC5L,PRPF40A
2684283,PRPF3,PRPF40A
2686164,SRSF1,SFPQ
2686842,PUF60,SRSF1
2686849,DHX8,SRSF7
2689611,TRIM28,U2AF1
2689685,TRIM28,UBR5
2689781,TRIM28,DHX9
2689782,TRIM28,HNRNPM
2689926,TRIM28,NXF1
2690007,TRIM28,PRPF6
2690071,TRIM28,EIF4A3
2690077,TRIM28,SMARCB1
2690096,TRIM28,ILF3
2690115,TRIM28,ILF2
2690176,TRIM28,DHX8
2691136,NSP7,NSP8
2691140,NSP10,NSP16
2692015,EP300,SF3B1
2692022,EP300,SRSF6
2692031,EP300,SRSF4
2692033,EP300,SNRNP70
2692035,EP300,PPP1CA
2692041,EP300,RBM39
2692049,EP300,SRRM2
2692054,EP300,SF3B6
2692057,EP300,SEPT2
2692073,EP300,RNPS1
2692079,EP300,PRPF40A
2692080,EP300,PRPF19
2692081,EP300,SRSF11
2692086,EP300,PPP1CC
2692092,EP300,PUF60
2692105,EP300,MAGOH
2692123,EP300,NONO
2692155,EP300,PHGDH
2692428,NSP7,NSP9
2692446,NSP8,ORF8
2704434,HNRNPM,MAGEA6
2734744,NXF1,CLK2
2735456,S100A9,MAGEA6
2747282,OBSL1,RBM4B
2747335,OBSL1,KIF23
2747372,OBSL1,ACTC1
2747377,OBSL1,RBX1
2747514,CUL7,MAGOH
2747519,CUL7,PPP1CC
2747605,CUL7,ZC3H18
2751967,ESR1,YWHAB
2752046,ESR1,PRPF6
2752432,PINK1,HSPA8
2752442,PINK1,HNRNPM
2752466,PINK1,SRRM2
2752489,PINK1,DHX9
2752501,PINK1,RPL13
2752505,PINK1,EIF4A3
2752512,PINK1,RAN
2752517,PINK1,ACIN1
2752544,PINK1,ILF3
2752564,PINK1,TRIM28
2752569,PINK1,SRSF7
2752570,PINK1,EFTUD2
2752583,PINK1,S100A9
2752609,PINK1,PRPF40A
2752616,PINK1,SF3B1
2752657,PINK1,DHX8
2752661,PINK1,SFPQ
2752685,PINK1,YWHAG
2752713,PINK1,NONO
2752735,PINK1,HIST1H4A
2752755,PINK1,DDX21
2752815,PINK1,RBM39
2752822,PINK1,SRSF4
2754095,FANCD2,DIDO1
2754198,FANCD2,MAGOH
2754262,FANCD2,PSIP1
2754279,FANCD2,RBBP6
2754282,FANCD2,RBM4B
2754348,FANCD2,SAP18
2754362,FANCD2,SF3B6
2754382,FANCD2,SRRM2
2754416,FANCD2,USP39
2754496,FANCD2,ILF2
2754534,FANCD2,PHB
2754552,FANCD2,RBX1
2754564,FANCD2,S100A9
2754663,FANCD2,PPP1CA
2768687,CCNF,VCP
2776757,ZC3H18,SFPQ
2776758,ZC3H18,RPL13
2776770,ZC3H18,SRSF7
2776778,ZC3H18,NONO
2776792,ZC3H18,DDX21
2776796,ZC3H18,ILF3
2776812,ZC3H18,HNRNPM
2776814,ZC3H18,DHX9
2776816,ZC3H18,SRSF6
2776819,ZC3H18,HSPA8
2776824,ZC3H18,EIF4A3
2776837,ZC3H18,PRPF19
2776841,ZC3H18,SAP18
2776856,ZC3H18,ILF2
2776863,ZC3H18,SF3B1
2776875,ZC3H18,PRPF6
2776918,ZC3H18,RBM39
2776923,ZC3H18,PRPF3
2776960,ZC3H18,SRSF5
2776961,ZC3H18,SRSF4
2776980,ZC3H18,PPP1CA
2777023,ZC3H18,SRPK1
2777056,ZC3H18,U2AF1
2777081,ZC3H18,RBM17
2777208,ZC3H18,SRSF11
2777212,ZC3H18,MAGOH
2777266,ZC3H18,TRIM28
2777308,ZC3H18,PHB
2777366,ZC3H18,PHGDH
2777376,ZC3H18,RAN
2777461,ZC3H18,SNIP1
2777478,ZC3H18,PRC1
2784496,PSIP1,HSPA8
2788451,SNIP1,CDC5L
2788456,SNIP1,PRPF19
2788475,SNIP1,SF3B6
2788490,SNIP1,EFTUD2
2788494,SNIP1,ACTC1
2788519,SNIP1,SRSF4
2788520,SNIP1,RBM17
2788534,SNIP1,SAP18
2788539,SNIP1,S100A9
2788544,SNIP1,SRSF7
2788555,SNIP1,SRSF5
2788558,SNIP1,DDX21
2788564,SNIP1,PRPF6
2788577,SNIP1,HSPA8
2788610,SNIP1,HNRNPM
2788666,SNIP1,RAN
2788683,SNIP1,ILF3
2791596,NSP10,PHGDH
2791947,NSP16,DHX8
2791969,NSP16,USP25
2791982,NSP16,UBR5
2792938,NSP5,PPP1CC
2792963,NSP5,RPL13
2793017,NSP5,DDX21
2793949,NSP8,PHB
2793996,NSP8,EFTUD2
2794053,NSP9,C11ORF30
2795120,ORF6,NXF1
2795372,ORF6,RPL13
2795466,ORF6,DDX21
2797297,ORF8,TFPI
2800835,NSP7,KIF20A
2800978,NSP7,UBR5
2801884,ORF6,KIF20A
2802845,ORF8,BUD31
2802929,ORF8,RPL13
2803397,ESR1,BRD3
2803464,ESR1,CIT
2803548,ESR1,DHX8
2803550,ESR1,DIDO1
2803569,ESR1,ECT2
2803610,ESR1,C11ORF30
2803761,ESR1,KIF14
2803808,ESR1,MAGOH
2803954,ESR1,NXF1
2803995,ESR1,PHGDH
2804096,ESR1,RBM4B
2804118,ESR1,RNF2
2804189,ESR1,SIRT7
2804216,ESR1,SNIP1
2804381,ESR1,KIAA1429
2804409,ESR1,YWHAG
2804622,ESR1,MKRN1
2804704,ESR1,TRIM26
2804731,ESR1,CIC
2804748,ESR1,SF3B6
2804765,ESR1,CHMP4B
2810531,UBR5,PRPF40A
2810558,UBR5,PUF60
2810565,UBR5,U2AF1
2810568,UBR5,SRSF4
2810570,UBR5,RNPS1
2810571,UBR5,EIF4A3
2810578,UBR5,RBM39
2810597,UBR5,U2AF2
2810598,UBR5,SAP18
2812438,CDC5L,BUD31
2812474,CDC5L,RBBP6
2815258,NXF1,NUP50
2819355,NXF1,U2AF2
2822941,CIT,HSPA8
2822977,CIT,RPL13
2823074,CIT,HNRNPM
2823133,CIT,RBM39
2823138,CIT,PHGDH
2823164,CIT,HIST1H4A
2823199,CIT,DHX9
2823215,CIT,ILF2
2823241,CIT,PPP1CC
2823299,CIT,DIDO1
2823308,CIT,ACTC1
2823313,CIT,MKI67
2823315,CIT,DDX21
2823321,CIT,ILF3
2823322,CIT,SFPQ
2823328,CIT,NONO
2823347,CIT,SRSF1
2823354,CIT,SRRM2
2823357,CIT,PPP1CA
2823360,CIT,PSIP1
2823370,CIT,PRPF19
2823379,CIT,PUF60
2823380,CIT,SAFB
2823387,CIT,SRSF7
2823388,CIT,EIF4A3
2823390,CIT,IFI16
2823393,CIT,SF3B1
